"pubmedID","num_inter","n_proteins","methods"
"10619026","1","2","x ray crystallography"
"10639123","1","2","x ray crystallography"
"10892748","1","2","x ray crystallography"
"11136978","1","2","x ray crystallography"
"11463386","1","2","x ray crystallography"
"11485736","1","2","x ray crystallography"
"11546839","1","2","x ray crystallography"
"11583626","1","2","x ray crystallography"
"11713475","1","2","x ray crystallography"
"12036349","1","2","x ray crystallography"
"11090627","3","4","isothermal titration calorimetry"
"10090723","1","2","x ray crystallography"
"12875835","1","2","x ray crystallography"
"10429675","1","2","x ray crystallography"
"10508408","1","1","x ray crystallography"
"10542098","1","2","x ray crystallography"
"10698945","1","2","x ray crystallography"
"1522589","1","2","x ray crystallography"
"10854330","1","2","x ray crystallography"
"10933786","1","2","x ray crystallography"
"10966114","1","2","x ray crystallography"
"10975842","1","2","x ray crystallography"
"11183784","1","2","x ray crystallography"
"11376336","1","2","x ray crystallography"
"11418455","1","2","x ray crystallography"
"11432818","1","2","x ray crystallography"
"11573085","1","2","nuclear magnetic resonance"
"12048248","1","2","x ray crystallography"
"12169629","1","2","nuclear magnetic resonance"
"2108322","1","2","x ray crystallography"
"12244049","1","2","x ray crystallography"
"2713105","1","2","x ray crystallography"
"7477400","1","2","x ray crystallography"
"12552112","1","2","x ray crystallography"
"7746322","1","2","x ray crystallography"
"881729","1","2","x ray crystallography"
"8844841","1","1","x ray crystallography"
"8483943","1","2","x ray crystallography"
"8962055","1","2","x ray crystallography"
"8601310","1","2","x ray crystallography"
"8624811","1","2","x ray crystallography"
"8624812","1","2","x ray crystallography"
"9680483","1","2","nuclear magnetic resonance"
"9768757","1","2","x ray crystallography"
"9530559","1","2","x ray crystallography"
"12086624","1","2","isothermal titration calorimetry"
"11172724","1","2","affinity chromatography technology"
"7651417","1","2","far western blotting"
"14668352","2","3","two hybrid"
"12809483","6","7","two hybrid"
"12421765","84","96","two hybrid"
"12855810","1","2","x ray crystallography"
"12442171","2","2","coimmunoprecipitation,fluorescence microscopy,x ray crystallography"
"10551859","1","2","coimmunoprecipitation,two hybrid"
"12577067","220","217","pull down"
"12377771","1","2","coimmunoprecipitation"
"14613930","3","3","cosedimentation through density gradient"
"14679214","11","8","pull down"
"9560268","1","2","pull down,two hybrid"
"11877390","1","2","enzyme linked immunosorbent assay"
"14676314","4","5","coimmunoprecipitation"
"14973490","2","3","pull down"
"12748171","1","2","coimmunoprecipitation"
"12189246","1","2","two hybrid"
"7542763","1","2","coimmunoprecipitation"
"14624448","2","3","pull down"
"12885943","1","2","anti bait coimmunoprecipitation"
"11741305","1","2","far western blotting,surface plasmon resonance"
"12223541","1","2","two hybrid"
"8692945","1","2","coimmunoprecipitation,two hybrid"
"14729977","2","3","coimmunoprecipitation"
"12606711","17","11","pull down"
"10856257","3","4","pull down"
"10205047","2","3","x ray crystallography"
"12534345","2","3","anti bait coimmunoprecipitation,pull down"
"10052460","1","2","x ray crystallography"
"11948178","1","2","coimmunoprecipitation"
"11861901","1","2","coimmunoprecipitation"
"11739383","4","4","coimmunoprecipitation"
"12140263","6","5","coimmunoprecipitation"
"15048123","10","8","anti bait coimmunoprecipitation"
"12640114","2","3","anti bait coimmunoprecipitation"
"9148763","1","2","pull down"
"14676191","118","61","anti tag coimmunoprecipitation"
"11950700","3","3","coimmunoprecipitation,pull down"
"14697667","1","2","anti tag coimmunoprecipitation,fluorescent resonance energy transfer"
"12860379","2","3","pull down,two hybrid"
"11438675","1","2","experimental interaction detection,imaging technique"
"12198496","1","2","anti tag coimmunoprecipitation"
"12485888","3","3","coimmunoprecipitation"
"11279131","1","2","pull down"
"12847090","2","3","pull down"
"9864353","1","2","pull down"
"11950930","1","2","pull down"
"1711157","1","2","fluorescence activated cell sorting"
"11792813","2","3","fluorescence microscopy"
"unassigned5","41","43","two hybrid"
"12665574","2","3","anti bait coimmunoprecipitation"
"12011057","3","3","fluorescence activated cell sorting"
"9417867","6","6","two hybrid"
"10864201","1","2","experimental interaction detection"
"14525983","8","6","coimmunoprecipitation"
"14667819","95","106","two hybrid"
"12471024","8","5","pull down"
"9497340","2","3","pull down,two hybrid"
"14724641","3","3","coimmunoprecipitation"
"10777491","2","3","two hybrid"
"14594945","3","4","tandem affinity purification"
"12588987","3","3","anti bait coimmunoprecipitation"
"14743216","1474","508","tandem affinity purification"
"15047060","78","71","molecular sieving"
"12888558","2","2","anti tag coimmunoprecipitation"
"12027893","1","2","coimmunoprecipitation,two hybrid"
"11953314","1","2","coimmunoprecipitation"
"11242053","2","3","pull down"
"15103385","1","2","anti bait coimmunoprecipitation,anti tag coimmunoprecipitation,experimental interaction detection,pull down"
"15129282","3","3","anti tag coimmunoprecipitation"
"10545207","4","5","pull down,two hybrid"
"12080348","1","2","coimmunoprecipitation"
"11237613","2","3","anti tag coimmunoprecipitation,pull down"
"12456677","1","2","experimental interaction detection"
"15121898","21","22","tandem affinity purification"
"15096576","19","10","pull down"
"14688252","6","5","anti tag coimmunoprecipitation"
"14603323","8","8","coimmunoprecipitation"
"10984498","3","4","pull down"
"10783144","2","3","pull down"
"15082531","2","3","coimmunoprecipitation"
"9380510","1","2","coimmunoprecipitation"
