"pubmedID","pvalue","xmin_est","xmax","ntail","len_degree","unique_degree","gof","alpha","n_inter"
"15799966","0.72","3","15","13","16","9","0.0977741619532835","2.43874623796285",41
"29084252","0.14","1","9","10","10","3","0.167631912624612","2.02397116500985",12
"26476452","0.33","1","8","10","10","5","0.128520024481487","1.91030812018272",13
"20434986","0.08","1","4","8","8","3","0.286046808203648","1.81132732724711",10
"27152988","0.08","1","3","8","8","3","0.450691333526076","1.91098800906362",8
"19781552","0.23","2","5","6","8","4","0.235992432636473","2.74018392375448",10
"29251827","0.04","1","30","60","60","5","0.0944295960058066","3.05220444639908",58
"16263121","0.02","2","39","40","41","4","0.195567677843143","3.95679746188122",77
"21642987","0","1","39","60","60","6","0.135204592070404","1.95822342079747",104
"25590999","0.57","4","8","5","21","7","0.0979768907126093","3.6473148022266",25
"26297806","0.07","1","10","21","21","5","0.154143117450438","1.80905409309932",32
"24603492","0.53","1","7","10","10","4","0.1033612016575","1.98690716617045",12
"17853893","0.18","2","11","9","15","5","0.147650184004968","2.49018645798357",20
"24089205","0.89","2","7","6","10","5","0.0776664520813553","2.62863045806326",12
"16387653","0.52","1","15","42","42","9","0.0439913660741345","2.19789306750489",50
"14749727","0.65","2","7","9","9","4","0.103114938562374","2.48959080526625",16
"29104064","0.07","1","30","35","35","4","0.0750595201621437","2.85474615523744",36
"23995757","0.58","1","16","25","25","6","0.0583216678816003","2.16819432143464",32
"21984185","0.24","2","8","9","11","6","0.151473622995088","2.36110652944824",18
"22087225","0.18","1","32","34","34","3","0.049066450429154","3.01010273537285",34
"28539385","0.71","1","17","24","24","7","0.054298981305883","1.99102682147465",34
"27693506","0.03","1","12","23","23","5","0.131532534058095","2.00540052390698",29
"18799622","0.32","6","9","4","8","6","0.228602675188997","4.94210634828249",20
"21705323","0.74","2","6","8","10","5","0.0901046101400221","2.84559353094495",13
"21525244","0.01","9","13","9","14","9","0.219919206682251","4.62592642331855",67
"26687479","0","2","256","171","377","10","0.0775909136136551","2.77699298180254",658
"25684205","0.09","3","9","8","10","4","0.203198484173617","2.87320711053024",22
"20368287","0.06","1","9","33","33","4","0.0841538413514207","2.39001745078524",28
"22318606","0.34","1","8","22","22","4","0.0695431351335375","2.514957985166",20
"23543736","0.34","1","6","14","14","5","0.119133381199125","2.00638011928803",16
"23866081","0.79","4","7","4","10","6","0.114059595432088","4.27479797788099",15
"9484840","0.56","2","7","6","9","4","0.110252917075977","2.84939893150724",11
"16482509","0.73","1","7","18","18","5","0.0457704418826704","2.51173932073751",15
"15207703","0.02","1","12","13","13","3","0.358632823798832","1.75649248311742",22
"8663044","0.72","3","6","8","12","6","0.0889525639574095","3.72992144993513",18
"23333304","0.11","1","6","9","9","4","0.218834989110816","1.84240088302428",12
"17174955","0","3","33","32","34","4","0.315679573829244","3.74229767156988",92
"15707590","0.95","1","11","14","14","5","0.0426911421054474","2.24828159844846",15
"12753742","0.38","1","5","10","10","4","0.125191501360097","1.99229778355362",11
"24726327","0.62","1","11","14","14","5","0.0815836534299508","2.11938347579777",16
"21157430","0.9","2","8","8","11","5","0.073944835368877","2.63638724530379",15
"15009097","0.23","2","5","6","8","4","0.235992432636473","2.74018392375448",10
"15616580","0.07","1","5","8","8","3","0.295473222154913","1.83413817430576",10
"22032989","0.63","1","12","14","14","5","0.0882604826500601","1.94476997758087",19
"22902626","0.21","1","9","17","17","3","0.0960993812379723","2.47065121582789",17
"14733938","0.14","3","9","14","16","6","0.150761445139318","2.82714279388942",36
"19193609","0.09","1","61","62","62","4","0.0390174715022277","3.00031289845625",67
"16582099","0.01","1","19","22","22","4","0.189814754793419","1.97429130540242",31
"20484049","0.49","2","6","6","8","5","0.149813424303222","2.5965296793537",11
"19059912","0.36","2","7","6","8","4","0.172032431760105","2.72050863609523",11
"21566083","0.5","2","7","7","9","4","0.152559449154002","2.9053331974266",12
"16637659","0.89","7","12","7","23","9","0.0709496365370057","5.64376554540088",54
"21674799","0","2","57","54","60","4","0.17778306981859","4.25231976758183",111
"11413142","0.1","1","5","9","9","4","0.255545242313769","1.83782527040431",11
"15333839","0.47","1","8","14","14","4","0.0835921244704834","2.29229590099043",14
"11585930","0.07","2","16","12","18","4","0.230091869748259","2.91521450837643",26
"16679322","0.06","1","4","7","7","3","0.488137126720545","1.68903526784902",10
"16890161","0.59","2","6","5","7","4","0.154917425402038","2.73069687572982",9
"27353360","0.1","2","17","14","21","6","0.145900023431234","2.04159143894645",43
"22504172","0.91","1","14","19","19","6","0.0459055112914352","2.07342113975174",24
"23870121","0.34","9","11","5","15","8","0.170904423129732","8.67304832614879",49
"23144738","0.64","2","7","5","8","4","0.135852041771685","2.63640849279609",10
"20479273","0.34","2","11","7","12","4","0.133842785390263","2.49893476411951",16
"16861890","0.11","1","4","9","9","4","0.215501432264855","1.84240088302441",11
"19131971","0.14","1","8","10","10","4","0.173194764511503","1.90441074993156",13
"15680923","0.4","2","6","7","8","4","0.164735663039949","2.99803079922326",11
"23585894","0.19","1","6","8","8","4","0.191135390187049","1.88604230829507",10
"22193777","0.15","2","7","6","9","4","0.204968184051433","2.62863049853602",12
"18332145","0.27","3","5","4","6","5","0.245693621696149","3.09132242668213",10
"17178841","0.06","5","9","7","10","4","0.224178955427087","3.51639040716463",29
"20603015","0.09","2","16","15","15","4","0.141131704179284","2.85654635979714",29
"16239144","0.13","1","18","31","31","4","0.0798416743618011","2.22678823544373",38
"20685960","0.6","4","8","5","8","6","0.174909947766508","3.4400808401126",16
"25799061","0.36","1","9","16","16","4","0.0953066427438073","2.06464918931467",20
"24699063","0.66","1","9","13","13","4","0.0805336779363836","2.03245401569134",16
"23885119","0.22","1","6","10","10","5","0.153053259985784","1.97939343586904",12
"20854876","0.81","1","13","14","14","4","0.0526143012454064","2.32297924474068",15
"21455180","0.39","2","5","6","7","5","0.179709809719468","2.39488097868628",11
"29581427","0.44","1","16","23","23","5","0.0602062896075372","2.3269638927284",26
"9222609","0.12","3","7","9","10","4","0.192080376580522","3.53723505686732",19
"15538384","0.54","2","8","6","7","4","0.160148806729076","2.65217599091237",11
"16957778","0.78","14","21","4","22","8","0.144085578002713","6.38508174695172",63
"29053956","0.07","1","323","322","322","3","0.029076056511704","4.69969003528619",328
"26153859","0.18","2","8","7","10","4","0.193591620975717","2.67229860863413",14
