"pvalue_degree","pvalue_bait","num_inter","n_proteins","n_NA_degree","n_NA_bait"
0,0.89,66736,10463,0,0
0,0.57,56103,9714,0,0
0,0.54,54961,9529,0,0
0.09,0.44,106858,13615,0,0
0,0.25,111011,13637,0,0
0,0.45,106454,13742,0,0
0.7,0.4,114775,13314,0,0
0.04,0.48,52622,8985,0,0
0.19,0.93,106449,13066,0,0
0.01,0.33,113867,13566,0,0
0.18,0.49,113677,13220,0,0
0.1,0.62,52004,9046,0,0
0.15,0.54,69919,10422,0,0
0,0.97,118211,13558,0,0
0.03,0.2,72620,10665,0,0
0,0.7,55693,9617,0,0
0.05,0.41,58269,9568,0,0
0,0.48,110855,13602,0,0
0.04,0,57338,9632,0,0
0.1,0.17,49618,9501,0,0
0,0.4,60550,9274,0,0
0,0.47,65199,10190,0,0
0,0.82,107164,12859,0,0
0,0.23,56377,9456,0,0
0,0.38,91961,13087,0,0
0,0.44,119101,13817,0,0
0,0,58637,10003,0,0
0.06,0.61,68124,10602,0,0
0.1,0.53,104307,13424,0,0
0,0.72,91981,12982,0,0
0.01,0.77,64869,10440,0,0
0,0,119820,13575,0,0
0.02,0.05,58038,9514,0,0
0.1,0.78,48894,9815,0,0
0.19,0.02,105201,13099,0,0
0.03,0.08,113850,13771,0,0
0,0,51152,9687,0,0
0.01,0,112352,13531,0,0
0.01,0.89,56393,10105,0,0
0.13,0.61,113887,13372,0,0
0.21,0,60276,9759,0,0
0.05,0.26,110905,13322,0,0
0.06,0.97,109923,13418,0,0
0.01,0.1,102040,13188,0,0
0,0.69,100050,13253,0,0
0.08,0,60388,9908,0,0
0.64,0.29,110106,13347,0,0
0.71,0.13,41313,9243,0,0
0,0.42,99414,13190,0,0
0.35,0.02,54284,9598,0,0
0.14,0.48,46818,9048,0,0
0.08,0.84,57314,9344,0,0
0.09,0.19,59497,10133,0,0
0.02,0.55,59490,10145,0,0
0,0.57,120666,13746,0,0
0.01,0.04,108183,13415,0,0
0.42,0,125106,13630,0,0
0,0.8,108459,13419,0,0
0,0,60482,9428,0,0
0.33,0.51,104175,13221,0,0
0.56,0.34,105466,13224,0,0
0,0.03,62922,10791,0,0
0,0.82,118359,13353,0,0
0.67,0,47538,9816,0,0
0.7,0.02,51161,9148,0,0
0.02,0.47,66141,9656,0,0
0.22,0.17,45241,9019,0,0
0.16,0.84,115233,13357,0,0
0.16,0.78,115957,13734,0,0
0.09,1,53266,9574,0,0
0.02,0.6,46975,9984,0,0
0,0.09,67772,9584,0,0
0.24,0.2,102998,13493,0,0
0,0.87,99303,13533,0,0
0.22,0,111285,13510,0,0
0.03,0.59,108384,13639,0,0
0.11,0.11,62640,10463,0,0
0,0.64,108103,13613,0,0
0,0.48,115133,13629,0,0
0,0.5,57977,10250,0,0
0.11,0.84,112028,13094,0,0
0,0.25,110557,13243,0,0
0,0.97,59009,9454,0,0
0,0.76,62525,9881,0,0
0.08,0.52,44166,9036,0,0
0.13,0,53391,9568,0,0
0,0.64,57949,9782,0,0
0,0.18,93306,13344,0,0
0,0,113945,13031,0,0
0,0.25,59220,9831,0,0
0.14,0.67,110801,13387,0,0
0.31,0.2,121833,13307,0,0
0,0.21,66670,9720,0,0
0.03,0,123968,13776,0,0
0.04,0.93,65108,9319,0,0
0.11,0.4,71761,10605,0,0
0.26,0.62,117116,13645,0,0
0.28,0.78,126741,13924,0,0
0.21,0.22,57392,9274,0,0
0,0.23,104612,13451,0,0
0.26,0.67,123952,13834,0,0
0,0.69,113073,13688,0,0
0.02,0.87,61204,9431,0,0
0.36,0.26,115722,13512,0,0
0,0.52,50816,9443,0,0
0,0.79,112226,13573,0,0
0.47,0,39148,8916,0,0
0.37,0.81,56864,9108,0,0
0.1,0,107371,13643,0,0
0.06,0.08,115843,13358,0,0
0,0.69,55052,9744,0,0
0.07,0,59646,10221,0,0
0,0,99847,13239,0,0
0.07,0.01,102990,13587,0,0
0,0.35,45562,9595,0,0
0.05,0.37,115195,13389,0,0
0,0.82,67781,9890,0,0
0,0.57,66529,10204,0,0
0,0,108145,13699,0,0
0.02,0.83,120688,13494,0,0
0.02,0,53274,9002,0,0
0.18,0.55,112853,13306,0,0
0.57,0,66365,9703,0,0
0,0.04,70196,10174,0,0
0,0,109973,13699,0,0
0,0.54,113312,13450,0,0
0.22,0,103754,12970,0,0
0.06,0.24,102134,13486,0,0
